% Model:              IceShelf2D_forward.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 8 2025, 10:43
% Dimension:          2
% Nodes:              100000
% Expressions:        4
% Description:        Dependent variable u, Dependent variable v, Dependent variable H, given viscosity
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  H (m)                    nu (Pa*s)
42900                     100                      1.352824166235016E-5     -4.359824343039363E-8    229.0657458448624        2.1137085430317266E13
43099.99999999999         100                      1.3650174426561392E-5    -4.371310034558108E-8    228.47050627297463       2.1157920408563016E13
43300                     100                      1.3772668012110332E-5    -4.380820393617857E-8    227.91016815434668       2.117875538680877E13
43500                     100                      1.38957326853017E-5      -4.394708957594085E-8    227.2720485923948        2.1199590365054527E13
43700                     100                      1.401935304502854E-5     -4.4034400221166236E-8   226.72543278101244       2.122042534330028E13
43900                     100                      1.4143544490370976E-5    -4.4165469803725337E-8   226.10116587948266       2.124126032154603E13
44100                     100                      1.4268296751759773E-5    -4.427670417472622E-8    225.51218054140742       2.126209529979179E13
44300                     100                      1.4393609840623871E-5    -4.436841139183816E-8    224.95741040086446       2.128293027803754E13
44500                     100                      1.4519493990047741E-5    -4.4503454518013247E-8   224.32654786322632       2.1303765256283293E13
44700                     100                      1.4645933841206638E-5    -4.458748368795028E-8    223.7853042585659        2.1324600234529047E13
44900                     100                      1.477294474392048E-5     -4.471482588941639E-8    223.16809322773486       2.1345435212774805E13
45100                     100                      1.4900516456525967E-5    -4.48225580881866E-8     222.5854617002293        2.136627019102056E13
45300                     100                      1.502864899071153E-5     -4.4910998021103406E-8   222.03638808356834       2.1387105169266312E13
45500                     100                      1.5157352538737141E-5    -4.504231713929305E-8    221.41284055167785       2.1407940147512062E13
45700                     100                      1.5286611796348854E-5    -4.51232021887361E-8     220.87710642613095       2.142877512575782E13
45900                     100                      1.5416442052387845E-5    -4.524694380560978E-8    220.26701827039037       2.144961010400357E13
46100                     100                      1.554683310087089E-5     -4.5351309670906564E-8   219.69083734486009       2.1470445082249324E13
46300                     100                      1.567778495329863E-5     -4.543662593134894E-8    219.1475846891692        2.149128006049508E13
46500                     100                      1.5809307753309907E-5    -4.556435621909055E-8    218.5314095139427        2.1512115038740832E13
46700                     100                      1.5941386262834426E-5    -4.564224905975759E-8    218.00131776208747       2.153295001698659E13
46900.00000000001         100                      1.607403569863004E-5     -4.5762534079220346E-8   217.39841857753683       2.1553784995232344E13
47100                     100                      1.6207245898334917E-5    -4.586368635261281E-8    216.82878278972453       2.1574619973478094E13
47300.00000000001         100                      1.634101687318947E-5     -4.5946038984886195E-8   216.2914720013777        2.1595454951723848E13
47500                     100                      1.647535871053923E-5     -4.607033415804568E-8    215.68272637768155       2.16162899299696E13
47699.99999999999         100                      1.6610256249284963E-5    -4.614540297034789E-8    215.15840611898994       2.1637124908215355E13
47900                     100                      1.6745724622764746E-5    -4.6262393724644876E-8   214.5627615834122        2.165795988646111E13
48099.99999999999         100                      1.6881753719786928E-5    -4.6360502977569725E-8   213.9997637420017        2.1678794864706867E13
48300                     100                      1.7018343551532473E-5    -4.6440069793425486E-8   213.46851277062083       2.1699629842952617E13
48500                     100                      1.715550414193407E-5     -4.656110370109761E-8    212.86725418883637       2.1720464821198375E13
48700                     100                      1.7293220417575348E-5    -4.663353522597796E-8    212.34883136091634       2.1741299799444125E13
48900                     100                      1.7431507417049685E-5    -4.674741459793819E-8    211.76050721839962       2.176213477768988E13
